time,POACTPQM1T_kW,POACTPQM2_kW,POACTPQM3_kW,FREQPQM1_Hz,FREQPQM2_Hz,VABPQM1T_volt,VBCPQM1T_volt,VCAPQM1T_volt,VABPQM2_volt,VBCPQM2_volt,VCAPQM2_volt,VABPQM3_volt,VBCPQM3_volt,VCAPQM3_volt,AMPAPQM1T_amp,AMPBPQM1T_amp,AMPCPQM1T_amp,AMPAPQM2_amp,AMPBPQM2_amp,AMPCPQM2_amp,AMPAPQM3_amp,AMPBPQM3_amp,AMPCPQM3_amp,PORETPQM1T_kvar,PORETPQM2_kvar,PORETPQM3_kvar,FPTPQM1T,FPTPQM2,FPTPQM3,DESVMPM1_%,DESAMPM1_%,DESVMPM2_%,DESAMPM2_%,DESVMPM3_%,DESAMPM3_%,THDVTPQM1T,THDITPQM1T,THDI11PQM1,THDI3PQM1,THDI5PQM1,THDI7PQM1,THDI9PQM1,THDITPQM1,THDV11PQM1,THDV3PQM1,THDV5PQM1,THDV7PQM1,THDV9PQM1,THDVTPQM1,TEMPTUBXIN_degF,PDP_PSIG,PIP_PSIG,TPMOTOR_degF,HORAS_ON,HORAS_OFF,HORAS_TOT,POT_HID,VOLUMEN_LIQUIDO,AGUA,CRUDO,BSW
2022-11-26T14:39:00.000Z,479.5,448,447.4708333,,,483.5,486.8,485.2,438.2,442.6,434,2944,3024,2918,618,,620,787.7,783.8,784.3,,116.4,118.9,67.4,392.9,273.8,91.8,75.1,88.8,,,1.989197734,0.309873504,,,23.35,,3.1,1.1,38.9,11.1,4.7,,,,,,,22.7,200.7,2457.4,1002.6,254,,,,234.6389413,,,,
2022-11-26T14:42:00.000Z,478.6,450.1,449.7737079,,56.9,483.35,487.15,485.45,438.1,442.5,433.9,,,,617.8,630.2,620.6,788,784.6,784.8,,116.5,119,72.5,390.7,270.7,91.45,75.4,89,,1.177352028,,0.279969458,,,15.95,42.4,3.5,0.9,38.5,11.6,4.4,41,,,,,,9.1,200.71,2456.7,1003,250.7,,,,235.8558944,,,,
2022-11-26T14:45:00.000Z,,450.4,449.9391892,,,482.95,486.45,484.65,438.2,442.7,434,2945,3025,2919,617.7,,,787.6,783.9,784.9,112.8,,,61.9,390.4,274,91.45,75.5,88.8,,,,0.271600747,,,23.25,42.5,3.1,1.2,38.9,11.1,4.7,41.1,,,,,,21.4,200.67,2456.5,1002.5,253,,,,233.9690071,,,,
2022-11-26T14:48:00.000Z,479.9,,,,57,483.9,487.55,485.85,,442.5,433.9,2944,,,617.5,,619.7,788,784,784.5,112.9,116.4,,70.8,390.2,275.5,,,88.6,0.778603269,,,0.318268619,,,22.9,42.6,3.3,1.9,38.3,12.5,,41.2,,,,,,21.8,200.67,2456.5,1002.5,253,,,,233.8840989,,,,
2022-11-26T14:51:00.000Z,479.4,449.9,449.6889888,,,483.5,487,485.35,437.9,442.3,433.6,2943,3023,2918,618,630.3,620.5,787.9,784.2,784.8,,116.5,,63.7,390.3,271,91.6,75.4,89,0.743604997,1.182577055,1.990771259,0.288514574,4.191850263,,46.3,64.85,3.1,1.2,39,11.1,,41.4,,,,,,21.9,200.63,2457,1003.2,252.6,,,,233.9847059,,,,
2022-11-26T14:54:00.000Z,,450.3,450.1942568,,,483.35,486.4,484.65,438.2,442.6,433.9,2945,3025,2919,617.6,630,620.9,787.8,784.1,784.6,,116.4,,69.7,390.2,273.6,91.6,75.5,88.8,,1.150655606,1.989197734,0.292807129,,,23.1,42.4,3.3,1.8,38.2,12.5,4.6,40.9,,,,,,22.3,200.63,,1003.2,,,,,234.0736305,,,,
2022-11-26T14:57:00.000Z,480.7,451.7,451.5632584,,56.9,,486.2,484.75,,,,,,,617.9,,,787.9,784.2,784.7,112.8,116.5,,65.4,388.6,271,91.85,75.7,89,,,,0.292769857,,,23.2,42.7,3.1,1,38.9,11.1,,41.2,,,,,,21.7,200.71,2457.2,1002.6,254,,,,234.7859,,,,
2022-11-26T15:00:00.000Z,480,451.6,,,,483.5,486.55,484.85,438.1,442.5,433.8,2943,3023,2918,617.9,,620.6,787.7,783.9,784.8,112.9,,,69,388.7,273.7,91.8,,88.8,0.654800881,,1.989984186,0.284332032,,,22.55,42.5,3.3,1.8,38.3,12.5,,40.9,,,,,,21.3,200.72,2457.2,1002.6,253,,,,233.3893858,,,,
2022-11-26T15:03:00.000Z,479,450.4,450.1027088,,,481.85,484.75,483.05,438,,433.7,2944,3024,,619.6,631.4,622.8,787.4,783.8,785,,116.4,,,389.7,275.7,91.65,75.5,88.6,0.64516129,1.088696766,,0.254647313,,,49.05,66.85,2.9,1.2,38.7,10.9,4.5,41.1,,,,,,22.7,200.72,2457.2,1002.6,253,,,,234.0993424,,,,
2022-11-26T15:06:00.000Z,479.7,451.4,451.1310811,,57,483.25,486.55,484.75,438.2,442.6,433.9,,,,618,630.1,620.9,787.8,784.2,784.9,,116.5,,69.7,389.3,273,91.8,75.6,88.8,0.702590057,1.13964687,2.015810277,0.27578599,,,22.6,42.55,3.3,1.8,38.3,12.5,4.6,41.2,,,,,,21.8,200.69,2457.3,1002.7,250.9,,,,234.8563976,,,,
